OrderID,ProductID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,QuantityOrdered,QuantityReceived,DefectQuantity,OrderStatus
ORD00076,PRD013,Stellar Packing Ltd,2026-04-22,2026-04-29,2026-04-29,500,500,0,Delivered
ORD00077,PRD014,Nexus Logistics,2025-11-18,2025-11-28,2025-11-28,250,250,0,Delivered
ORD00078,PRD016,Apex Component Ltd,2025-09-09,2025-09-12,2025-09-12,50,50,0,Delivered
ORD00079,PRD004,Nexus Logistics,2026-01-22,2026-02-01,2026-02-01,50,50,0,Delivered
ORD00080,PRD018,Prime Battery Corp,2025-09-21,2025-09-28,2025-09-28,1000,1000,0,Delivered
ORD00081,PRD006,Prime Battery Corp,2026-07-19,2026-07-26,2026-07-25,250,250,0,Delivered
ORD00082,PRD017,Global Screen Supply,2026-02-02,2026-02-12,2026-02-12,500,500,0,Delivered
ORD00083,PRD003,Prime Battery Corp,2026-03-08,2026-03-18,2026-03-18,500,500,0,Delivered
ORD00084,PRD017,Prime Battery Corp,2025-08-17,2025-08-22,2025-08-26,500,500,0,Delivered
ORD00085,PRD001,Nexus Logistics,2026-03-02,2026-03-07,2026-03-07,100,100,0,Delivered
ORD00086,PRD015,Apex Component Ltd,2026-01-01,2026-01-15,2026-01-15,500,500,0,Delivered
ORD00087,PRD012,Apex Component Ltd,2026-03-05,2026-03-08,2026-03-08,100,100,7,Delivered
ORD00088,PRD017,Stellar Packing Ltd,2025-11-01,2025-11-08,2025-11-08,250,250,0,Delivered
ORD00089,PRD003,Global Screen Supply,2026-06-11,2026-06-21,2026-06-21,500,500,0,Delivered
ORD00090,PRD016,Nexus Logistics,2026-06-13,2026-06-20,2026-06-20,250,250,10,Delivered
ORD00091,PRD020,Stellar Packing Ltd,2026-04-10,2026-04-20,2026-04-20,500,500,0,Delivered
ORD00092,PRD020,Nexus Logistics,2026-04-07,2026-04-12,2026-04-12,50,50,0,Delivered
ORD00093,PRD015,Stellar Packing Ltd,2026-04-18,2026-05-02,2026-05-02,100,100,0,Delivered
ORD00094,PRD003,Prime Battery Corp,2025-09-11,2025-09-25,2025-09-25,500,500,0,Delivered
ORD00095,PRD010,Nexus Logistics,2025-09-29,2025-10-13,2025-10-13,50,50,0,Delivered
ORD00096,PRD014,Stellar Packing Ltd,2026-01-26,2026-01-29,2026-01-29,250,250,0,Delivered
ORD00097,PRD004,Stellar Packing Ltd,2026-04-27,2026-05-11,2026-05-11,50,50,0,Delivered
ORD00098,PRD015,Apex Component Ltd,2026-02-20,2026-02-27,2026-02-27,100,100,0,Delivered
ORD00099,PRD007,Prime Battery Corp,2026-07-07,2026-07-21,2026-07-21,500,500,0,Delivered
ORD00100,PRD009,Apex Component Ltd,2026-06-18,2026-06-28,2026-06-30,250,250,0,Delivered
ORD00101,PRD003,Global Screen Supply,2026-03-12,2026-03-19,2026-03-19,50,50,0,Delivered
ORD00102,PRD011,Global Screen Supply,2025-10-03,2025-10-06,2025-10-06,250,250,0,Delivered
ORD00103,PRD007,Global Screen Supply,2026-05-01,2026-05-15,2026-05-15,1000,1000,0,Delivered
ORD00104,PRD003,Apex Component Ltd,2026-04-06,2026-04-20,,1000,0,0,Cancelled
ORD00105,PRD017,Stellar Packing Ltd,2025-11-25,2025-11-30,2025-11-30,250,250,0,Delivered
ORD00106,PRD003,Stellar Packing Ltd,2026-04-29,2026-05-13,2026-05-13,1000,1000,0,Delivered
ORD00107,PRD012,Global Screen Supply,2026-06-26,2026-06-29,2026-06-29,1000,1000,48,Delivered
ORD00108,PRD006,Global Screen Supply,2025-08-26,2025-09-05,2025-09-09,50,50,0,Delivered
ORD00109,PRD009,Apex Component Ltd,2026-06-21,2026-06-26,2026-06-26,250,250,0,Delivered
ORD00110,PRD015,Nexus Logistics,2026-01-14,2026-01-19,2026-01-19,500,500,0,Delivered
ORD00111,PRD018,Prime Battery Corp,2026-01-05,2026-01-08,2026-01-08,50,50,0,Delivered
ORD00112,PRD020,Nexus Logistics,2025-12-12,2025-12-15,2025-12-15,50,50,0,Delivered
ORD00113,PRD002,Global Screen Supply,2025-08-28,2025-09-02,2025-09-02,250,250,5,Delivered
ORD00114,PRD017,Prime Battery Corp,2026-02-13,2026-02-20,2026-02-23,250,250,0,Delivered
ORD00115,PRD007,Stellar Packing Ltd,2025-12-18,2025-12-28,2025-12-28,100,100,0,Delivered
ORD00116,PRD012,Apex Component Ltd,2026-05-02,2026-05-16,2026-05-16,250,250,0,Delivered
ORD00117,PRD005,Global Screen Supply,2026-04-03,2026-04-06,2026-04-06,250,250,0,Delivered
ORD00118,PRD017,Nexus Logistics,2026-02-19,2026-03-05,2026-03-05,50,50,2,Delivered
ORD00119,PRD005,Nexus Logistics,2026-04-08,2026-04-11,2026-04-11,50,50,0,Delivered
ORD00120,PRD009,Global Screen Supply,2026-06-15,2026-06-29,2026-06-29,250,250,0,Delivered
ORD00121,PRD019,Apex Component Ltd,2025-08-08,2025-08-11,2025-08-11,50,50,0,Delivered
ORD00122,PRD018,Prime Battery Corp,2026-06-18,2026-06-25,2026-06-25,500,500,0,Delivered
ORD00123,PRD015,Global Screen Supply,2026-01-15,2026-01-29,2026-01-29,100,100,0,Delivered
ORD00124,PRD011,Global Screen Supply,2026-03-20,2026-03-23,2026-03-22,250,250,0,Delivered
ORD00125,PRD011,Stellar Packing Ltd,2026-01-01,2026-01-06,2026-01-06,100,100,0,Delivered
ORD00126,PRD008,Global Screen Supply,2026-05-19,2026-05-26,2026-05-26,50,50,0,Delivered
ORD00127,PRD009,Prime Battery Corp,2026-02-16,2026-02-23,2026-02-23,50,50,0,Delivered
ORD00128,PRD020,Stellar Packing Ltd,2025-09-23,2025-09-28,2025-09-28,50,50,0,Delivered
ORD00129,PRD002,Apex Component Ltd,2025-10-03,2025-10-10,2025-10-07,500,500,0,Delivered
ORD00130,PRD019,Prime Battery Corp,2026-04-10,2026-04-24,2026-04-24,1000,1000,0,Delivered
ORD00131,PRD001,Stellar Packing Ltd,2026-03-24,2026-03-31,2026-03-31,1000,1000,0,Delivered
ORD00132,PRD005,Global Screen Supply,2025-08-10,2025-08-24,2025-08-24,50,50,0,Delivered
ORD00133,PRD002,Global Screen Supply,2026-04-16,2026-04-21,2026-04-21,1000,1000,0,Delivered
ORD00134,PRD009,Stellar Packing Ltd,2026-03-29,2026-04-03,2026-04-03,100,100,0,Delivered
ORD00135,PRD011,Nexus Logistics,2026-01-19,2026-02-02,2026-02-02,250,250,0,Delivered
ORD00136,PRD002,Prime Battery Corp,2026-07-25,2026-07-28,2026-07-28,250,250,0,Delivered
ORD00137,PRD005,Apex Component Ltd,2026-06-05,2026-06-19,2026-06-19,100,100,0,Delivered
ORD00138,PRD005,Apex Component Ltd,2026-05-02,2026-05-07,2026-05-07,500,500,0,Delivered
ORD00139,PRD003,Stellar Packing Ltd,2025-11-20,2025-12-04,2025-12-03,50,50,0,Delivered
ORD00140,PRD002,Apex Component Ltd,2025-12-24,2026-01-07,2026-01-07,1000,1000,0,Delivered
ORD00141,PRD007,Apex Component Ltd,2026-01-10,2026-01-15,2026-01-15,500,500,16,Delivered
ORD00142,PRD014,Stellar Packing Ltd,2026-01-08,2026-01-11,2026-01-10,500,500,0,Delivered
ORD00143,PRD011,Prime Battery Corp,2026-05-19,2026-06-02,2026-06-02,50,50,0,Delivered
ORD00144,PRD004,Prime Battery Corp,2026-01-29,2026-02-12,2026-02-11,100,100,0,Delivered
ORD00145,PRD008,Stellar Packing Ltd,2025-09-04,2025-09-18,2025-09-18,500,500,0,Delivered
ORD00146,PRD006,Prime Battery Corp,2026-04-17,2026-04-27,2026-04-27,50,50,0,Delivered
ORD00147,PRD019,Apex Component Ltd,2026-05-07,2026-05-17,2026-05-17,250,250,0,Delivered
ORD00148,PRD018,Apex Component Ltd,2025-08-29,2025-09-08,2025-09-07,50,50,0,Delivered
ORD00149,PRD013,Apex Component Ltd,2026-07-09,2026-07-23,2026-07-23,100,100,0,Delivered
ORD00150,PRD001,Prime Battery Corp,2026-03-19,2026-04-02,2026-04-02,500,500,0,Delivered
ORD00151,PRD002,Nexus Logistics,2026-06-04,2026-06-07,2026-06-08,100,100,0,Delivered
ORD00152,PRD002,Global Screen Supply,2026-04-08,2026-04-15,2026-04-15,100,100,0,Delivered
ORD00153,PRD014,Prime Battery Corp,2025-12-12,2025-12-15,2025-12-15,1000,1000,0,Delivered
ORD00154,PRD017,Prime Battery Corp,2026-07-16,2026-07-26,2026-07-26,500,500,0,Delivered
ORD00155,PRD015,Apex Component Ltd,2026-05-08,2026-05-18,2026-05-17,500,500,0,Delivered
ORD00156,PRD018,Global Screen Supply,2025-08-20,2025-08-27,2025-08-27,500,500,0,Delivered
ORD00157,PRD016,Global Screen Supply,2026-01-11,2026-01-18,2026-01-15,50,50,0,Delivered
ORD00158,PRD008,Stellar Packing Ltd,2026-01-05,2026-01-12,2026-01-12,500,500,0,Delivered
ORD00159,PRD011,Global Screen Supply,2026-01-30,2026-02-06,,500,0,0,Cancelled
ORD00160,PRD008,Global Screen Supply,2025-08-02,2025-08-09,2025-08-09,1000,1000,0,Delivered
ORD00161,PRD016,Stellar Packing Ltd,2026-06-25,2026-07-02,2026-07-02,250,250,0,Delivered
ORD00162,PRD018,Nexus Logistics,2025-10-27,2025-11-10,2025-11-10,50,50,3,Delivered
ORD00163,PRD003,Global Screen Supply,2025-07-29,2025-08-03,2025-08-11,1000,1000,0,Delivered
ORD00164,PRD018,Prime Battery Corp,2025-08-02,2025-08-16,2025-08-16,500,500,0,Delivered
ORD00165,PRD012,Prime Battery Corp,2026-02-13,2026-02-16,2026-02-16,250,250,0,Delivered
ORD00166,PRD003,Nexus Logistics,2026-02-04,2026-02-14,2026-02-14,1000,1000,0,Delivered
ORD00167,PRD017,Apex Component Ltd,2025-11-19,2025-11-24,2025-11-26,1000,1000,0,Delivered
ORD00168,PRD001,Global Screen Supply,2026-05-21,2026-05-26,2026-05-26,500,500,0,Delivered
ORD00169,PRD003,Stellar Packing Ltd,2026-01-18,2026-01-21,2026-01-21,50,50,0,Delivered
ORD00170,PRD016,Global Screen Supply,2026-01-23,2026-02-06,2026-02-06,500,500,0,Delivered
ORD00171,PRD003,Prime Battery Corp,2025-10-11,2025-10-21,2025-10-21,100,100,0,Delivered
ORD00172,PRD005,Apex Component Ltd,2025-10-28,2025-11-07,2025-11-07,500,500,0,Delivered
ORD00173,PRD013,Apex Component Ltd,2025-12-21,2025-12-31,2025-12-31,500,500,0,Delivered
ORD00174,PRD009,Prime Battery Corp,2025-12-09,2025-12-19,2025-12-19,100,100,0,Delivered
ORD00175,PRD020,Stellar Packing Ltd,2025-11-02,2025-11-12,2025-11-19,50,50,0,Delivered
ORD00176,PRD010,Prime Battery Corp,2026-05-29,2026-06-03,2026-06-03,500,500,0,Delivered
ORD00177,PRD011,Nexus Logistics,2025-12-15,2025-12-25,2025-12-25,250,250,0,Delivered
ORD00178,PRD007,Nexus Logistics,2025-12-21,2025-12-24,2025-12-22,500,500,0,Delivered
ORD00179,PRD019,Nexus Logistics,2026-04-24,2026-05-08,2026-05-08,500,500,0,Delivered
ORD00180,PRD020,Apex Component Ltd,2026-05-09,2026-05-19,2026-05-19,250,250,7,Delivered
ORD00181,PRD012,Apex Component Ltd,2026-03-29,2026-04-01,2026-04-01,250,250,0,Delivered
ORD00182,PRD012,Nexus Logistics,2025-09-12,2025-09-22,2025-09-22,500,500,0,Delivered
ORD00183,PRD008,Stellar Packing Ltd,2025-10-22,2025-11-05,2025-11-05,100,100,0,Delivered
ORD00184,PRD001,Stellar Packing Ltd,2025-11-03,2025-11-13,2025-11-17,1000,1000,0,Delivered
ORD00185,PRD011,Global Screen Supply,2026-03-16,2026-03-19,2026-03-19,250,250,0,Delivered
ORD00186,PRD012,Nexus Logistics,2026-06-06,2026-06-11,2026-06-11,250,250,0,Delivered
ORD00187,PRD017,Nexus Logistics,2026-02-24,2026-03-10,2026-03-10,100,100,0,Delivered
ORD00188,PRD015,Stellar Packing Ltd,2025-08-21,2025-08-28,2025-08-26,50,50,0,Delivered
ORD00189,PRD016,Global Screen Supply,2025-09-05,2025-09-19,2025-09-19,50,50,1,Delivered
ORD00190,PRD018,Stellar Packing Ltd,2025-09-20,2025-10-04,2025-10-04,50,50,0,Delivered
ORD00191,PRD004,Global Screen Supply,2025-12-24,2025-12-27,2025-12-27,500,500,0,Delivered
ORD00192,PRD020,Nexus Logistics,2025-10-17,2025-10-31,2025-10-31,100,100,0,Delivered
ORD00193,PRD010,Stellar Packing Ltd,2025-12-08,2025-12-22,2025-12-22,50,50,0,Delivered
ORD00194,PRD008,Global Screen Supply,2026-07-24,2026-07-31,2026-07-31,100,100,0,Delivered
ORD00195,PRD013,Stellar Packing Ltd,2025-12-14,2025-12-21,2025-12-21,500,500,32,Delivered
ORD00196,PRD003,Stellar Packing Ltd,2026-02-13,2026-02-18,2026-02-18,500,500,0,Delivered
ORD00197,PRD011,Apex Component Ltd,2025-08-17,2025-08-20,,500,0,0,Cancelled
ORD00198,PRD006,Nexus Logistics,2026-03-15,2026-03-18,2026-03-18,500,500,0,Delivered
ORD00199,PRD009,Apex Component Ltd,2026-01-31,2026-02-05,2026-02-05,50,50,0,Delivered
ORD00200,PRD016,Apex Component Ltd,2025-09-30,2025-10-14,2025-10-14,100,100,3,Delivered
ORD00201,PRD008,Nexus Logistics,2025-09-08,2025-09-11,2025-09-11,50,50,0,Delivered
ORD00202,PRD020,Global Screen Supply,2026-03-07,2026-03-14,2026-03-12,100,100,0,Delivered
ORD00203,PRD019,Nexus Logistics,2026-01-20,2026-01-30,2026-01-30,250,250,0,Delivered
ORD00204,PRD010,Global Screen Supply,2026-04-16,2026-04-30,2026-04-30,1000,1000,0,Delivered
ORD00205,PRD017,Apex Component Ltd,2026-01-25,2026-02-01,2026-02-01,100,100,0,Delivered
ORD00206,PRD019,Apex Component Ltd,2025-08-01,2025-08-08,,100,0,0,Cancelled
ORD00207,PRD002,Nexus Logistics,2026-04-10,2026-04-17,2026-04-17,1000,1000,0,Delivered
ORD00208,PRD005,Stellar Packing Ltd,2026-01-08,2026-01-18,2026-01-18,1000,1000,0,Delivered
ORD00209,PRD002,Global Screen Supply,2025-09-07,2025-09-17,2025-09-17,50,50,0,Delivered
ORD00210,PRD016,Prime Battery Corp,2026-04-18,2026-05-02,2026-04-30,250,250,0,Delivered
ORD00211,PRD017,Apex Component Ltd,2025-12-06,2025-12-20,2025-12-20,50,50,3,Delivered
ORD00212,PRD008,Stellar Packing Ltd,2025-07-26,2025-07-29,2025-07-29,50,50,0,Delivered
ORD00213,PRD008,Prime Battery Corp,2025-11-29,2025-12-09,2025-12-15,250,250,0,Delivered
ORD00214,PRD003,Nexus Logistics,2025-12-16,2025-12-23,2025-12-23,250,250,0,Delivered
ORD00215,PRD012,Stellar Packing Ltd,2026-04-03,2026-04-08,2026-04-08,1000,1000,38,Delivered
ORD00216,PRD011,Apex Component Ltd,2026-06-26,2026-07-06,2026-07-06,250,250,0,Delivered
ORD00217,PRD003,Apex Component Ltd,2025-11-20,2025-12-04,2025-12-04,500,500,0,Delivered
ORD00218,PRD003,Stellar Packing Ltd,2026-05-11,2026-05-14,2026-05-12,500,500,0,Delivered
ORD00219,PRD011,Nexus Logistics,2025-12-11,2025-12-16,2025-12-13,50,50,0,Delivered
ORD00220,PRD007,Nexus Logistics,2025-12-29,2026-01-08,2026-01-13,250,250,0,Delivered
ORD00221,PRD012,Nexus Logistics,2026-04-13,2026-04-16,2026-04-16,250,250,9,Delivered
ORD00222,PRD005,Apex Component Ltd,2025-07-31,2025-08-03,2025-08-03,100,100,0,Delivered
ORD00223,PRD003,Global Screen Supply,2026-06-20,2026-06-30,2026-06-30,100,100,0,Delivered
ORD00224,PRD013,Nexus Logistics,2025-08-09,2025-08-19,2025-08-19,500,500,0,Delivered
ORD00225,PRD010,Nexus Logistics,2026-02-20,2026-03-06,2026-03-06,500,500,0,Delivered
ORD00226,PRD013,Prime Battery Corp,2026-03-27,2026-04-10,2026-04-10,500,500,0,Delivered
ORD00227,PRD002,Nexus Logistics,2026-04-22,2026-04-29,2026-04-29,1000,1000,0,Delivered
ORD00228,PRD008,Stellar Packing Ltd,2026-02-08,2026-02-15,2026-02-15,100,100,0,Delivered
ORD00229,PRD019,Global Screen Supply,2026-04-03,2026-04-17,2026-04-18,250,250,0,Delivered
ORD00230,PRD005,Prime Battery Corp,2025-10-23,2025-10-30,,50,0,0,Cancelled
ORD00231,PRD019,Global Screen Supply,2025-09-19,2025-10-03,2025-10-03,250,250,0,Delivered
ORD00232,PRD014,Nexus Logistics,2026-06-22,2026-06-29,2026-06-29,100,100,0,Delivered
ORD00233,PRD010,Global Screen Supply,2025-10-23,2025-10-26,2025-10-26,1000,1000,0,Delivered
ORD00234,PRD019,Apex Component Ltd,2026-04-05,2026-04-10,2026-04-10,250,250,0,Delivered
ORD00235,PRD015,Apex Component Ltd,2025-12-07,2025-12-12,2025-12-12,100,100,0,Delivered
ORD00236,PRD014,Nexus Logistics,2026-02-03,2026-02-10,2026-02-10,1000,1000,0,Delivered
ORD00237,PRD001,Prime Battery Corp,2025-12-05,2025-12-08,2025-12-08,50,50,0,Delivered
ORD00238,PRD001,Nexus Logistics,2026-06-24,2026-06-29,2026-06-28,1000,1000,0,Delivered
ORD00239,PRD010,Prime Battery Corp,2025-11-23,2025-11-26,2025-11-26,50,50,0,Delivered
ORD00240,PRD007,Apex Component Ltd,2025-08-07,2025-08-12,2025-08-12,100,100,0,Delivered
ORD00241,PRD003,Stellar Packing Ltd,2026-02-08,2026-02-13,2026-02-13,250,250,0,Delivered
ORD00242,PRD005,Apex Component Ltd,2025-09-06,2025-09-13,2025-09-13,1000,1000,0,Delivered
ORD00243,PRD019,Global Screen Supply,2026-03-25,2026-04-01,2026-04-01,50,50,2,Delivered
ORD00244,PRD007,Global Screen Supply,2025-09-27,2025-09-30,2025-09-30,500,500,0,Delivered
ORD00245,PRD003,Nexus Logistics,2026-05-05,2026-05-15,2026-05-15,1000,1000,0,Delivered
ORD00246,PRD004,Nexus Logistics,2025-10-09,2025-10-14,2025-10-14,1000,1000,0,Delivered
ORD00247,PRD014,Prime Battery Corp,2026-02-06,2026-02-16,2026-02-21,1000,1000,0,Delivered
ORD00248,PRD002,Nexus Logistics,2025-12-09,2025-12-16,2025-12-16,50,50,0,Delivered
ORD00249,PRD005,Prime Battery Corp,2026-03-08,2026-03-15,2026-03-15,250,250,0,Delivered
ORD00250,PRD002,Stellar Packing Ltd,2025-10-14,2025-10-17,2025-10-17,250,250,0,Delivered
ORD00251,PRD008,Apex Component Ltd,2026-03-15,2026-03-18,2026-03-18,250,250,0,Delivered
ORD00252,PRD016,Stellar Packing Ltd,2026-03-10,2026-03-15,2026-03-15,500,500,0,Delivered
ORD00253,PRD002,Global Screen Supply,2026-05-13,2026-05-18,2026-05-18,100,100,0,Delivered
ORD00254,PRD016,Global Screen Supply,2026-06-21,2026-06-26,2026-06-26,1000,1000,0,Delivered
ORD00255,PRD012,Nexus Logistics,2025-12-01,2025-12-06,2025-12-06,500,500,0,Delivered
ORD00256,PRD018,Stellar Packing Ltd,2026-06-01,2026-06-08,2026-06-08,250,250,0,Delivered
ORD00257,PRD007,Global Screen Supply,2026-04-15,2026-04-20,2026-04-20,50,50,0,Delivered
ORD00258,PRD009,Nexus Logistics,2026-02-17,2026-02-27,2026-02-27,50,50,0,Delivered
ORD00259,PRD012,Stellar Packing Ltd,2025-12-25,2025-12-30,2026-01-02,1000,1000,0,Delivered
ORD00260,PRD012,Global Screen Supply,2025-12-29,2026-01-08,2026-01-08,250,250,0,Delivered
