OrderID,CarrierName,TransitMode,ShippingCost,DistanceMiles,ShipDate
ORD00049,Swift Cargo,Road,933.9,670.3,2025-09-24
ORD00050,FedEx,Air,482.5,131.8,2025-12-09
ORD00051,BlueDart,Air,3631.75,1141.8,2025-08-03
ORD00052,Swift Cargo,Road,1264.99,1050.4,2026-02-24
ORD00053,BlueDart,Air,3153.4,1051.8,2025-12-10
ORD00054,BlueDart,Air,1201.22,356.9,2026-02-05
ORD00055,FedEx,Air,3177.73,1061.6,2026-07-01
ORD00056,BlueDart,Air,2803.64,814.8,2026-02-21
ORD00057,Swift Cargo,Road,1156.25,921.4,2026-04-29
ORD00059,Swift Cargo,Road,371.87,287.0,2026-01-25
ORD00060,BlueDart,Air,3505.63,1091.3,2025-10-08
ORD00061,BlueDart,Air,674.07,217.3,2025-12-27
ORD00063,OceanBlue,Sea,584.02,845.5,2026-04-06
ORD00064,OceanBlue,Sea,281.06,459.4,2026-01-01
ORD00065,OceanBlue,Sea,497.85,921.2,2025-12-12
ORD00066,BlueDart,Air,1685.16,505.4,2026-07-08
ORD00068,BlueDart,Air,612.96,228.3,2026-06-04
ORD00069,BlueDart,Air,2481.64,746.1,2025-11-23
ORD00070,Swift Cargo,Road,1157.0,1041.0,2026-02-20
ORD00071,Swift Cargo,Road,1077.59,805.9,2025-12-15
ORD00072,Swift Cargo,Road,570.47,461.4,2026-05-11
ORD00073,OceanBlue,Sea,502.96,969.0,2025-09-30
ORD00074,FedEx,Air,1686.06,597.2,2025-09-29
ORD00075,Swift Cargo,Road,257.65,172.3,2025-08-27
ORD00076,FedEx,Air,3339.41,1038.1,2026-04-23
ORD00077,OceanBlue,Sea,390.09,569.4,2025-11-19
ORD00078,Swift Cargo,Road,978.86,712.0,2025-09-11
ORD00079,Swift Cargo,Road,407.71,270.2,2026-01-24
ORD00080,FedEx,Air,2495.89,769.9,2025-09-22
ORD00081,BlueDart,Air,650.62,176.5,2026-07-20
ORD00082,FedEx,Air,2913.71,1071.7,2026-02-03
ORD00083,FedEx,Air,1316.35,479.7,2026-03-10
ORD00084,Swift Cargo,Road,1349.29,944.1,2025-08-18
ORD00085,OceanBlue,Sea,150.19,179.3,2026-03-03
ORD00086,FedEx,Air,1929.41,545.5,2026-01-03
ORD00087,OceanBlue,Sea,251.63,343.7,2026-03-06
ORD00088,Swift Cargo,Road,279.05,213.1,2025-11-02
ORD00089,OceanBlue,Sea,655.53,1050.7,2026-06-12
ORD00090,FedEx,Air,575.57,162.6,2026-06-14
ORD00091,FedEx,Air,2030.94,594.7,2026-04-12
ORD00092,FedEx,Air,1792.91,655.0,2026-04-09
ORD00093,OceanBlue,Sea,413.57,846.8,2026-04-20
ORD00094,Swift Cargo,Road,639.75,466.7,2025-09-13
ORD00095,Swift Cargo,Road,1251.0,837.1,2025-09-30
ORD00096,BlueDart,Air,1126.94,311.2,2026-01-28
ORD00097,BlueDart,Air,787.67,269.7,2026-04-28
ORD00098,BlueDart,Air,1057.26,357.4,2026-02-22
ORD00099,BlueDart,Air,3927.28,1162.9,2026-07-08
ORD00100,Swift Cargo,Road,618.57,400.1,2026-06-20
ORD00101,BlueDart,Air,3464.06,1194.0,2026-03-13
ORD00102,BlueDart,Air,1520.83,593.5,2025-10-05
ORD00103,FedEx,Air,514.97,152.5,2026-05-03
ORD00105,BlueDart,Air,1025.65,306.0,2025-11-27
ORD00106,BlueDart,Air,3277.64,1179.1,2026-04-30
ORD00107,Swift Cargo,Road,1439.37,1013.4,2026-06-28
ORD00108,OceanBlue,Sea,704.34,1126.7,2025-08-28
ORD00109,OceanBlue,Sea,308.09,400.5,2026-06-23
ORD00110,OceanBlue,Sea,640.51,981.3,2026-01-15
ORD00111,BlueDart,Air,886.37,283.3,2026-01-07
ORD00112,Swift Cargo,Road,1290.44,1148.1,2025-12-14
ORD00113,BlueDart,Air,3352.88,1143.7,2025-08-29
ORD00114,BlueDart,Air,2961.11,1104.9,2026-02-15
ORD00115,BlueDart,Air,4041.06,1197.0,2025-12-20
ORD00116,Swift Cargo,Road,1256.7,973.1,2026-05-03
ORD00117,Swift Cargo,Road,851.89,773.1,2026-04-05
ORD00118,OceanBlue,Sea,214.04,241.2,2026-02-20
ORD00119,Swift Cargo,Road,781.45,480.6,2026-04-09
ORD00120,Swift Cargo,Road,1007.59,751.0,2026-06-17
ORD00121,Swift Cargo,Road,1202.22,943.7,2025-08-10
ORD00122,BlueDart,Air,513.53,180.3,2026-06-20
ORD00123,OceanBlue,Sea,563.7,1172.9,2026-01-16
ORD00124,BlueDart,Air,3143.93,1050.6,2026-03-21
ORD00125,OceanBlue,Sea,325.98,647.1,2026-01-03
ORD00126,BlueDart,Air,1074.51,414.3,2026-05-20
ORD00127,OceanBlue,Sea,167.95,180.9,2026-02-18
ORD00128,OceanBlue,Sea,483.22,930.5,2025-09-24
ORD00129,OceanBlue,Sea,261.34,278.8,2025-10-05
ORD00130,FedEx,Air,1682.4,505.2,2026-04-12
ORD00131,Swift Cargo,Road,989.44,676.7,2026-03-26
ORD00132,BlueDart,Air,2570.51,859.6,2025-08-12
ORD00133,OceanBlue,Sea,676.53,1152.4,2026-04-18
ORD00134,OceanBlue,Sea,644.37,948.3,2026-03-31
ORD00135,BlueDart,Air,3525.53,1000.2,2026-01-21
ORD00136,Swift Cargo,Road,485.74,322.3,2026-07-27
ORD00137,Swift Cargo,Road,256.16,157.7,2026-06-06
ORD00138,Swift Cargo,Road,1109.56,931.5,2026-05-03
ORD00139,FedEx,Air,3522.18,1196.9,2025-11-22
ORD00140,BlueDart,Air,2895.41,1078.2,2025-12-26
ORD00141,OceanBlue,Sea,493.23,724.6,2026-01-12
ORD00142,Swift Cargo,Road,180.45,107.5,2026-01-10
ORD00143,FedEx,Air,1691.78,611.9,2026-05-21
ORD00144,OceanBlue,Sea,368.34,557.4,2026-01-30
ORD00145,FedEx,Air,566.97,167.9,2025-09-05
ORD00146,BlueDart,Air,2978.38,989.6,2026-04-19
ORD00147,Swift Cargo,Road,800.0,736.1,2026-05-08
ORD00148,BlueDart,Air,1788.45,511.9,2025-08-31
ORD00149,BlueDart,Air,2241.57,681.7,2026-07-10
ORD00150,OceanBlue,Sea,197.3,270.6,2026-03-20
ORD00151,FedEx,Air,991.28,369.2,2026-06-05
ORD00152,OceanBlue,Sea,318.32,360.6,2026-04-09
ORD00153,BlueDart,Air,1859.07,711.4,2025-12-14
ORD00154,BlueDart,Air,1067.9,365.1,2026-07-17
ORD00155,OceanBlue,Sea,621.4,811.4,2026-05-09
ORD00156,Swift Cargo,Road,1338.09,985.1,2025-08-21
ORD00157,BlueDart,Air,3599.23,1105.9,2026-01-13
ORD00158,OceanBlue,Sea,399.64,664.1,2026-01-07
ORD00160,Swift Cargo,Road,410.61,315.8,2025-08-03
ORD00161,BlueDart,Air,2009.58,606.9,2026-06-26
ORD00162,FedEx,Air,2812.11,940.8,2025-10-28
ORD00163,FedEx,Air,358.03,107.3,2025-07-31
ORD00164,FedEx,Air,1916.08,676.8,2025-08-04
ORD00165,Swift Cargo,Road,642.06,430.0,2026-02-14
ORD00166,FedEx,Air,1975.67,649.8,2026-02-05
ORD00167,OceanBlue,Sea,651.46,1089.2,2025-11-21
ORD00168,BlueDart,Air,2617.56,844.7,2026-05-22
ORD00169,BlueDart,Air,3356.7,1165.8,2026-01-20
ORD00170,FedEx,Air,2696.26,949.4,2026-01-24
ORD00171,FedEx,Air,3417.12,1137.3,2025-10-12
ORD00172,FedEx,Air,1328.69,489.3,2025-10-30
ORD00173,Swift Cargo,Road,840.07,729.2,2025-12-22
ORD00174,BlueDart,Air,2826.47,960.9,2025-12-11
ORD00175,BlueDart,Air,2832.42,984.5,2025-11-03
ORD00176,OceanBlue,Sea,614.23,908.4,2026-05-30
ORD00177,Swift Cargo,Road,1161.31,849.9,2025-12-17
ORD00178,Swift Cargo,Road,1270.37,886.8,2025-12-23
ORD00179,FedEx,Air,668.67,220.3,2026-04-25
ORD00180,Swift Cargo,Road,774.48,590.4,2026-05-10
ORD00181,Swift Cargo,Road,635.3,483.2,2026-03-31
ORD00182,FedEx,Air,390.28,124.8,2025-09-13
ORD00183,BlueDart,Air,2192.36,792.7,2025-10-24
ORD00184,FedEx,Air,2482.31,735.1,2025-11-05
ORD00185,OceanBlue,Sea,500.8,756.7,2026-03-18
ORD00186,OceanBlue,Sea,152.03,229.6,2026-06-07
ORD00187,Swift Cargo,Road,921.34,710.4,2026-02-26
ORD00188,BlueDart,Air,1710.96,550.0,2025-08-23
ORD00189,OceanBlue,Sea,220.23,285.0,2025-09-07
ORD00190,FedEx,Air,2794.05,936.0,2025-09-22
ORD00191,FedEx,Air,2679.39,953.2,2025-12-26
ORD00192,OceanBlue,Sea,435.36,685.5,2025-10-19
ORD00193,FedEx,Air,4048.86,1191.7,2025-12-09
ORD00194,OceanBlue,Sea,439.0,790.6,2026-07-25
ORD00195,FedEx,Air,2737.65,904.0,2025-12-16
ORD00196,OceanBlue,Sea,328.66,471.5,2026-02-15
ORD00198,OceanBlue,Sea,230.58,274.9,2026-03-17
ORD00199,Swift Cargo,Road,633.05,572.2,2026-02-01
ORD00200,FedEx,Air,3505.4,1187.0,2025-10-01
ORD00201,Swift Cargo,Road,1111.91,805.7,2025-09-09
ORD00202,BlueDart,Air,2740.7,1046.0,2026-03-08
ORD00203,Swift Cargo,Road,981.69,708.7,2026-01-21
ORD00204,Swift Cargo,Road,735.71,644.4,2026-04-17
ORD00205,Swift Cargo,Road,1455.63,939.0,2026-01-26
ORD00207,Swift Cargo,Road,523.55,405.2,2026-04-11
ORD00208,FedEx,Air,1373.69,441.2,2026-01-09
ORD00209,Swift Cargo,Road,378.38,231.4,2025-09-08
ORD00210,FedEx,Air,2469.7,948.6,2026-04-20
ORD00211,Swift Cargo,Road,604.0,504.5,2025-12-07
ORD00212,Swift Cargo,Road,471.23,296.9,2025-07-28
ORD00213,FedEx,Air,1061.45,297.3,2025-12-01
ORD00214,OceanBlue,Sea,414.88,720.2,2025-12-18
ORD00215,Swift Cargo,Road,981.59,695.7,2026-04-04
ORD00216,BlueDart,Air,4055.91,1157.3,2026-06-28
ORD00217,FedEx,Air,2282.27,738.8,2025-11-22
ORD00218,OceanBlue,Sea,650.9,1118.6,2026-05-13
ORD00219,FedEx,Air,883.19,280.8,2025-12-13
ORD00220,FedEx,Air,1166.9,336.5,2025-12-30
ORD00221,BlueDart,Air,2204.9,711.5,2026-04-14
ORD00222,FedEx,Air,2113.82,740.6,2025-08-01
ORD00223,FedEx,Air,473.67,147.0,2026-06-22
ORD00224,OceanBlue,Sea,323.28,590.6,2025-08-10
ORD00225,Swift Cargo,Road,1170.99,806.9,2026-02-21
ORD00226,OceanBlue,Sea,188.56,297.8,2026-03-29
ORD00227,Swift Cargo,Road,629.54,393.2,2026-04-23
ORD00228,OceanBlue,Sea,516.54,1105.4,2026-02-09
ORD00229,Swift Cargo,Road,197.62,121.9,2026-04-04
ORD00231,BlueDart,Air,2158.23,744.6,2025-09-20
ORD00232,OceanBlue,Sea,238.07,345.6,2026-06-24
ORD00233,FedEx,Air,916.75,300.3,2025-10-24
ORD00234,Swift Cargo,Road,1256.02,799.8,2026-04-07
ORD00235,FedEx,Air,500.53,153.0,2025-12-08
ORD00236,Swift Cargo,Road,361.47,278.9,2026-02-05
ORD00237,FedEx,Air,2419.46,701.8,2025-12-07
ORD00238,Swift Cargo,Road,778.92,550.2,2026-06-26
ORD00239,FedEx,Air,1499.45,496.9,2025-11-25
ORD00240,FedEx,Air,1327.02,439.2,2025-08-09
ORD00241,OceanBlue,Sea,351.46,583.7,2026-02-09
ORD00242,FedEx,Air,3451.97,1024.9,2025-09-08
ORD00243,Swift Cargo,Road,358.89,232.3,2026-03-26
ORD00244,Swift Cargo,Road,1224.24,1017.5,2025-09-28
ORD00245,FedEx,Air,3070.5,965.2,2026-05-07
ORD00246,FedEx,Air,1914.42,719.0,2025-10-11
ORD00247,BlueDart,Air,530.27,142.7,2026-02-07
ORD00248,BlueDart,Air,3403.93,1044.1,2025-12-10
ORD00249,BlueDart,Air,1172.27,332.5,2026-03-10
ORD00250,FedEx,Air,1022.55,291.1,2025-10-15
ORD00251,BlueDart,Air,2128.0,799.0,2026-03-17
ORD00252,OceanBlue,Sea,604.74,923.9,2026-03-12
ORD00253,BlueDart,Air,2314.49,664.6,2026-05-14
ORD00254,OceanBlue,Sea,585.49,884.0,2026-06-23
ORD00255,FedEx,Air,456.61,108.1,2025-12-03
ORD00256,OceanBlue,Sea,572.91,804.7,2026-06-03
ORD00257,OceanBlue,Sea,585.96,848.8,2026-04-17
ORD00258,OceanBlue,Sea,476.4,899.2,2026-02-19
ORD00259,Swift Cargo,Road,1717.81,1141.6,2025-12-26
ORD00260,FedEx,Air,2138.26,617.6,2025-12-30
ORD00261,Swift Cargo,Road,326.71,251.1,2026-04-09
ORD00262,FedEx,Air,359.83,105.2,2025-10-26
ORD00263,BlueDart,Air,1363.65,521.6,2026-04-03
ORD00264,OceanBlue,Sea,246.15,443.3,2026-04-24
ORD00265,BlueDart,Air,3811.06,1076.8,2025-08-19
ORD00266,FedEx,Air,2046.6,748.7,2025-10-18
ORD00267,FedEx,Air,452.69,153.1,2026-04-25
ORD00268,FedEx,Air,2355.76,828.7,2026-03-25
ORD00269,Swift Cargo,Road,1431.83,955.8,2026-04-14
ORD00270,OceanBlue,Sea,179.02,358.0,2025-10-16
ORD00271,Swift Cargo,Road,939.97,602.4,2025-10-10
ORD00272,FedEx,Air,3544.18,1036.4,2025-08-15
ORD00273,OceanBlue,Sea,234.81,301.2,2026-01-26
ORD00274,Swift Cargo,Road,365.78,214.1,2026-02-27
ORD00276,Swift Cargo,Road,1616.38,1175.7,2026-04-01
ORD00277,FedEx,Air,442.68,112.8,2026-03-30
ORD00278,BlueDart,Air,1539.7,543.6,2025-09-03
ORD00279,FedEx,Air,1816.67,712.8,2026-03-12
ORD00280,OceanBlue,Sea,473.3,716.2,2025-11-09
ORD00281,OceanBlue,Sea,395.11,702.5,2025-09-13
ORD00282,Swift Cargo,Road,987.1,888.5,2026-02-20
ORD00283,FedEx,Air,2137.15,708.5,2026-06-28
ORD00284,BlueDart,Air,1807.22,560.5,2025-09-29
ORD00285,OceanBlue,Sea,625.5,1027.4,2026-01-17
ORD00286,Swift Cargo,Road,927.56,654.3,2026-06-10
ORD00287,OceanBlue,Sea,591.7,1065.2,2026-03-28
ORD00288,OceanBlue,Sea,411.2,851.7,2025-10-09
ORD00289,Swift Cargo,Road,1215.84,916.7,2025-08-12
ORD00290,BlueDart,Air,3521.07,1013.0,2026-02-10
ORD00291,FedEx,Air,1565.72,514.9,2026-05-30
ORD00292,FedEx,Air,3044.38,951.0,2025-12-04
ORD00293,Swift Cargo,Road,975.13,672.7,2026-05-04
ORD00294,BlueDart,Air,4055.19,1196.3,2025-11-16
ORD00295,BlueDart,Air,3864.62,1107.5,2026-03-12
ORD00296,FedEx,Air,3126.65,1143.0,2026-02-02
ORD00297,BlueDart,Air,2857.67,811.2,2026-07-04
ORD00298,Swift Cargo,Road,1379.28,1102.1,2026-01-12
ORD00299,FedEx,Air,2317.13,871.0,2025-08-03
ORD00300,FedEx,Air,1921.82,621.4,2026-06-02
ORD00301,OceanBlue,Sea,538.84,1153.1,2026-06-15
ORD00302,Swift Cargo,Road,1387.32,923.1,2025-07-29
ORD00303,FedEx,Air,3637.37,1036.5,2025-10-17
ORD00304,OceanBlue,Sea,338.15,492.9,2025-12-22
ORD00305,Swift Cargo,Road,899.52,722.1,2025-11-03
ORD00306,OceanBlue,Sea,227.44,247.7,2026-01-03
ORD00307,OceanBlue,Sea,518.64,1044.6,2025-12-30
ORD00308,Swift Cargo,Road,1456.6,1096.9,2025-08-05
ORD00309,FedEx,Air,1673.8,536.5,2026-02-11
ORD00310,Swift Cargo,Road,1177.31,909.5,2026-03-11
ORD00311,OceanBlue,Sea,429.93,526.9,2025-08-27
ORD00312,Swift Cargo,Road,671.02,514.3,2026-07-21
ORD00313,BlueDart,Air,2770.95,1075.9,2026-02-04
ORD00314,FedEx,Air,2457.48,827.2,2025-09-03
ORD00315,Swift Cargo,Road,386.36,248.2,2026-03-28
ORD00316,FedEx,Air,3513.38,1066.4,2025-12-05
ORD00317,Swift Cargo,Road,1024.5,785.5,2026-06-02
ORD00318,BlueDart,Air,3172.95,1009.2,2026-05-24
ORD00319,FedEx,Air,3621.26,1086.7,2025-09-25
ORD00320,BlueDart,Air,1680.12,485.6,2026-07-18
ORD00321,FedEx,Air,2953.92,880.1,2025-12-03
ORD00322,OceanBlue,Sea,275.5,387.4,2026-02-04
ORD00323,OceanBlue,Sea,749.44,1187.4,2026-02-23
ORD00324,FedEx,Air,989.26,276.8,2025-11-20
ORD00325,FedEx,Air,3127.01,896.9,2026-05-30
ORD00327,FedEx,Air,1642.73,495.7,2025-11-02
ORD00328,FedEx,Air,3454.71,1111.1,2026-01-23
ORD00329,FedEx,Air,2192.76,714.5,2025-11-18
ORD00330,Swift Cargo,Road,1434.66,933.2,2026-04-28
ORD00331,Swift Cargo,Road,1229.98,980.2,2026-03-29
ORD00332,BlueDart,Air,1269.26,445.3,2025-12-20
ORD00333,Swift Cargo,Road,1270.52,1020.0,2025-11-05
ORD00334,OceanBlue,Sea,521.15,641.6,2026-06-06
ORD00335,BlueDart,Air,2918.28,1133.6,2026-04-13
ORD00336,FedEx,Air,1468.64,458.0,2026-07-19
ORD00337,OceanBlue,Sea,313.46,501.6,2026-03-24
ORD00338,Swift Cargo,Road,674.4,620.3,2025-09-15
ORD00339,Swift Cargo,Road,287.37,166.0,2026-01-03
ORD00340,FedEx,Air,1640.35,552.9,2025-12-06
ORD00341,BlueDart,Air,2839.99,952.2,2026-06-24
ORD00342,FedEx,Air,577.43,187.0,2025-10-20
ORD00343,BlueDart,Air,1521.79,555.4,2026-06-21
ORD00344,FedEx,Air,2946.54,948.0,2025-11-10
ORD00345,Swift Cargo,Road,378.3,244.4,2025-10-14
ORD00346,BlueDart,Air,2548.69,794.2,2026-03-23
ORD00347,OceanBlue,Sea,130.08,111.6,2026-04-28
ORD00348,OceanBlue,Sea,102.85,110.0,2026-03-23
ORD00349,BlueDart,Air,2785.3,1011.3,2026-02-02
ORD00350,Swift Cargo,Road,1178.02,1038.8,2026-07-17
ORD00351,FedEx,Air,835.85,304.5,2025-12-13
ORD00352,BlueDart,Air,3619.47,1197.8,2025-09-11
ORD00353,OceanBlue,Sea,683.93,999.0,2025-08-23
ORD00354,Swift Cargo,Road,876.99,620.1,2025-11-30
ORD00355,FedEx,Air,2889.32,1050.0,2026-05-04
ORD00356,BlueDart,Air,2344.4,857.2,2025-10-19
ORD00357,FedEx,Air,1360.16,491.1,2025-09-10
ORD00358,BlueDart,Air,2334.49,906.5,2025-11-22
ORD00359,Swift Cargo,Road,864.38,698.0,2026-03-31
ORD00360,BlueDart,Air,3129.31,907.0,2025-10-14
ORD00361,Swift Cargo,Road,961.24,774.3,2026-01-06
ORD00362,BlueDart,Air,848.98,310.8,2026-06-29
ORD00364,BlueDart,Air,2570.2,981.1,2025-09-01
ORD00366,Swift Cargo,Road,473.51,312.4,2025-09-03
ORD00367,FedEx,Air,809.97,283.5,2026-02-24
ORD00368,OceanBlue,Sea,397.92,553.6,2026-05-30
ORD00369,OceanBlue,Sea,668.41,1157.8,2026-05-10
ORD00370,Swift Cargo,Road,457.83,336.3,2025-08-04
ORD00371,OceanBlue,Sea,331.16,503.8,2026-05-07
ORD00372,Swift Cargo,Road,988.63,637.1,2026-02-15
ORD00373,BlueDart,Air,1953.41,558.2,2025-08-14
ORD00374,Swift Cargo,Road,438.8,268.5,2026-06-16
ORD00375,OceanBlue,Sea,141.49,190.8,2026-04-11
ORD00376,Swift Cargo,Road,884.02,636.6,2026-02-15
ORD00377,BlueDart,Air,1657.89,565.9,2025-12-09
ORD00378,Swift Cargo,Road,447.34,319.7,2026-01-21
ORD00379,FedEx,Air,1340.84,435.6,2025-11-27
ORD00380,FedEx,Air,1808.07,514.3,2026-04-20
ORD00381,FedEx,Air,1534.47,527.5,2025-12-19
ORD00382,OceanBlue,Sea,401.05,633.1,2025-12-22
ORD00383,BlueDart,Air,2378.1,918.8,2026-05-10
ORD00384,FedEx,Air,3968.44,1138.6,2026-04-09
ORD00385,Swift Cargo,Road,770.58,559.1,2025-09-09
ORD00386,Swift Cargo,Road,1276.1,1048.8,2026-03-12
ORD00387,FedEx,Air,1047.48,302.5,2026-06-26
ORD00388,OceanBlue,Sea,158.52,267.2,2026-02-21
ORD00389,FedEx,Air,1632.6,495.2,2025-12-10
ORD00390,FedEx,Air,3898.45,1118.0,2026-02-09
ORD00391,Swift Cargo,Road,852.03,570.3,2025-10-25
ORD00392,FedEx,Air,2056.9,672.7,2026-06-04
ORD00393,FedEx,Air,981.95,308.8,2026-04-28
ORD00394,BlueDart,Air,3055.91,1012.9,2026-02-27
ORD00395,Swift Cargo,Road,1165.29,1070.8,2026-07-17
ORD00396,Swift Cargo,Road,683.2,516.5,2025-09-23
ORD00397,BlueDart,Air,1194.65,417.7,2025-10-17
ORD00398,BlueDart,Air,1171.03,361.7,2025-12-03
ORD00399,Swift Cargo,Road,227.86,153.8,2026-05-29
ORD00400,Swift Cargo,Road,380.0,277.5,2026-07-02
ORD00401,FedEx,Air,3156.9,934.3,2026-01-27
ORD00402,FedEx,Air,772.64,220.2,2026-07-16
ORD00403,OceanBlue,Sea,709.1,1119.8,2026-07-23
ORD00404,FedEx,Air,2527.69,911.2,2026-06-04
ORD00405,OceanBlue,Sea,204.71,379.9,2026-01-13
ORD00406,Swift Cargo,Road,520.17,313.4,2026-07-13
ORD00407,OceanBlue,Sea,468.54,608.7,2026-06-21
ORD00408,OceanBlue,Sea,148.9,172.8,2026-05-12
ORD00409,OceanBlue,Sea,464.53,875.8,2025-10-19
ORD00410,Swift Cargo,Road,380.11,223.5,2025-11-24
ORD00411,OceanBlue,Sea,495.8,953.1,2025-08-07
ORD00412,FedEx,Air,1616.55,466.6,2026-03-19
ORD00413,BlueDart,Air,2361.91,838.2,2026-01-01
ORD00414,Swift Cargo,Road,1653.62,1137.6,2026-05-08
ORD00415,FedEx,Air,604.22,216.5,2026-06-04
ORD00416,FedEx,Air,3866.09,1171.1,2026-06-13
ORD00417,Swift Cargo,Road,1299.06,1142.2,2025-09-14
ORD00418,BlueDart,Air,1690.64,607.4,2025-10-27
ORD00419,BlueDart,Air,2095.02,749.6,2026-02-18
ORD00420,BlueDart,Air,2122.18,723.9,2025-08-28
ORD00421,BlueDart,Air,1048.82,293.8,2026-04-01
ORD00422,FedEx,Air,3001.12,932.8,2026-01-10
ORD00423,OceanBlue,Sea,822.08,1110.4,2026-05-18
ORD00424,FedEx,Air,387.69,100.9,2025-07-30
ORD00425,BlueDart,Air,1607.65,578.7,2025-11-23
ORD00426,Swift Cargo,Road,186.57,112.8,2026-02-08
ORD00427,BlueDart,Air,2372.18,785.6,2025-09-08
ORD00428,Swift Cargo,Road,1078.54,883.3,2025-11-19
ORD00429,Swift Cargo,Road,1213.89,903.2,2026-05-13
ORD00430,FedEx,Air,2649.9,852.5,2025-09-04
ORD00431,BlueDart,Air,1742.57,488.2,2025-07-31
ORD00432,FedEx,Air,2361.69,822.0,2025-12-28
ORD00433,OceanBlue,Sea,259.19,402.7,2025-09-06
ORD00434,BlueDart,Air,936.54,298.9,2026-06-28
ORD00435,Swift Cargo,Road,501.02,331.9,2025-10-13
ORD00436,Swift Cargo,Road,754.21,517.8,2025-10-19
ORD00437,FedEx,Air,675.47,207.1,2025-08-02
ORD00438,BlueDart,Air,3154.98,950.5,2026-01-13
ORD00439,FedEx,Air,1735.43,552.4,2026-07-08
ORD00441,Swift Cargo,Road,772.15,513.6,2026-05-26
ORD00442,OceanBlue,Sea,638.41,946.3,2025-12-03
ORD00443,OceanBlue,Sea,203.41,295.7,2025-09-01
ORD00444,FedEx,Air,3584.64,1103.9,2025-10-25
ORD00445,BlueDart,Air,1333.17,393.1,2025-12-01
ORD00446,Swift Cargo,Road,223.92,103.6,2026-03-28
ORD00447,FedEx,Air,1730.05,501.9,2026-04-27
ORD00448,BlueDart,Air,3448.13,1086.1,2025-10-24
ORD00450,BlueDart,Air,2974.06,1163.2,2026-04-03
ORD00451,Swift Cargo,Road,1055.42,915.2,2025-09-24
ORD00452,OceanBlue,Sea,490.95,1002.8,2026-03-24
ORD00453,BlueDart,Air,1646.22,456.7,2026-04-06
ORD00454,Swift Cargo,Road,1157.43,865.9,2025-08-18
ORD00455,FedEx,Air,832.6,297.4,2026-06-15
ORD00456,Swift Cargo,Road,1509.32,1131.9,2026-07-15
ORD00457,FedEx,Air,2704.96,780.8,2025-09-09
ORD00458,Swift Cargo,Road,917.49,837.2,2025-12-15
ORD00459,Swift Cargo,Road,333.63,273.9,2025-12-01
ORD00460,Swift Cargo,Road,1147.84,956.9,2026-05-26
